date,rm,rf,SMB,HML,WML
196207,-5.53,0.25,-0.29,-1.05,2.38
196208,6.11,0.25,-5.5,-1.63,0.8
196209,-6.32,0.26,2.26,0.14,1.94
196210,-2.03,0.24,-3.12,1.13,1.14
196211,19.29,0.24,-0.87,-9.73,-10.36
196212,-3.08,0.4,1.22,-2.2,2.77
196301,-3.65,0.25,2.65,-2.72,3.46
196302,-4.82,0.25,3.43,-3.43,1.42
196303,4.4,0.28,-1.94,-3.98,1.97
196304,2.91,0.28,-2.2,1.84,-0.34
196305,14.99,0.28,-6.19,-4.44,1.2
196306,-2.35,0.31,1.83,2.08,-1.15
196307,1.94,0.29,1.98,1.69,0.21
196308,5.01,0.28,-2.05,0.59,-2.7
196309,-0.03,0.29,3.46,2.66,-2.46
196310,-2.73,0.27,0.88,-0.94,0.09
196311,-2.85,0.25,0.47,-0.48,-1.09
196312,4,0.45,-2.07,-0.66,0.75
196401,5.21,0.25,-3.31,7.4,0
196402,1.91,0.26,-1,5.8,-0.52
196403,3.77,0.27,-3.04,4.11,-1.71
196404,-2.93,0.28,2.05,0.96,0.73
196405,-2.36,0.28,-0.01,-2.6,-0.55
196406,0.18,0.3,-1.92,1.93,2.35
196407,3.43,0.28,-5.09,2.94,3.64
196408,3.3,0.31,-0.77,1.43,1.58
196409,-1.6,0.32,2.62,-1.32,0.07
196410,-4.55,0.33,3.2,-2.54,-0.85
196411,-0.43,0.29,0.31,-1.57,-1.08
196412,1.89,0.47,0.31,-4,-0.93
196501,1.31,0.28,-1.37,1.02,1.87
196502,-3.04,0.29,0.83,0.99,0.52
196503,-3.84,0.34,1.17,0.08,2.13
196504,0.89,0.35,-0.87,0.98,0.45
196505,-0.9,0.37,-1.85,-0.14,1.5
196506,-5.64,0.39,2.32,-0.79,1.91
196507,4.75,0.39,-1.24,-0.11,-2.3
196508,1.07,0.39,0.36,-2.23,0.33
196509,0.16,0.43,-0.71,-0.23,1.38
196510,-4.64,0.44,2.3,1.57,1.42
196511,-2.84,0.4,1.7,-4.03,1.8
196512,0.71,0.56,-0.33,1.77,-3.1
196601,4.93,0.38,-1.15,-4.69,-0.42
196602,2.32,0.39,1.21,-0.74,-1.02
196603,-3.87,0.46,2.47,-1.59,1.29
196604,-4.02,0.49,3.2,1.57,1.03
196605,-2.44,0.48,0.76,-0.1,0.03
196606,-8.64,0.55,2.95,2.29,0.48
196607,-4.64,0.55,4.54,-0.61,-0.93
196608,5.35,0.52,-2.28,-0.22,-3.54
196609,3.81,0.52,-0.17,-2.39,1.62
196610,-6.94,0.52,3.23,-0.66,5.16
196611,0.05,0.48,-2.08,1.01,0.21
196612,-0.7,0.66,2.02,0.1,-2.17
196701,7.09,0.45,-6.33,-1.71,-4.68
196702,3.64,0.44,0.9,2.74,-1.99
196703,2.78,0.39,-1.22,-0.09,0.85
196704,-4.66,0.36,2.07,-0.75,2.09
196705,1.26,0.27,-0.33,2.63,3.77
196706,-0.93,0.28,1.39,-2.38,1
196707,7.91,0.22,-2.71,1.36,0.66
196708,11.09,0.23,-6,2.89,0.16
196709,3.26,0.26,1.28,0.76,-0.71
196710,3.5,0.21,-0.95,0.11,1.44
196711,4.33,0.15,0.18,-3.53,-1.87
196712,2.8,0.36,-2.68,3,0.35
196801,4.69,0.23,3.7,0.11,-3.74
196802,0.01,0.25,0.92,-1.7,0.67
196803,2.6,0.28,-3.5,-1.41,0.45
196804,3.91,0.27,-1.43,4.93,0.63
196805,-0.34,0.27,-0.41,-3.17,-1.36
196806,6.53,0.28,-4.65,-1.56,1.89
196807,0.11,0.26,0.47,-2.98,-1.4
196808,1.45,0.25,1.05,4.98,2.22
196809,-2.39,0.27,3.7,2.63,0.86
196810,1.89,0.29,-1.85,-2.12,-0.6
196811,-2.08,0.25,2.79,-1.56,0.03
196812,0.57,0.38,-0.13,0.12,-0.11
196901,5.18,0.31,-0.9,1.35,0.68
196902,-1.77,0.3,4.21,1.22,-0.93
196903,1.24,0.33,-0.53,0.19,0.84
196904,0.28,0.32,-1.15,-0.56,1.39
196905,8.85,0.32,-4.59,1.15,2.41
196906,-2.69,0.41,2.3,4.33,2.06
196907,-2.36,0.46,2.89,0.52,1.03
196908,6.4,0.5,-0.17,-0.8,2.44
196909,-1.62,0.52,5.71,1.37,2.02
196910,5.44,0.55,6.61,-0.14,0.94
196911,4.32,0.6,1.8,-1,-5.54
196912,-5.53,0.81,-0.01,-0.44,-1.21
197001,-5.75,0.77,1.87,2.18,0.43
197002,-2.22,0.77,1.31,-0.98,0.69
197003,0.42,0.81,-1.02,4.35,-1.35
197004,-4.13,0.82,0.16,1.02,3.26
197005,-9.31,0.82,-1.55,-0.54,-1.98
197006,-3.48,0.81,3.37,2.14,5.73
